agtCnt,sales_n_min,sales_n_max,median_of_medians,ratio_median,ratio_p75,ratio_max,median_of_max_price,max_of_max_price
50,24,24,191324.0,2.515375175095649,2.515375175095649,2.515375175095649,726665.0,726665.0
100,57,57,258441.0,2.4426828560483806,2.4426828560483806,2.4426828560483806,781954.2,781954.2
200,112,112,275761.0,2.276449534198092,2.276449534198092,2.276449534198092,999076.6,999076.6
400,222,222,261444.97999999998,2.5000161793123725,2.5000161793123725,2.5000161793123725,1.255557e6,1.255557e6
